Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2019,10-14,20814198,10625817,10188381,6.3,6.5,6.1,104.3
2019,15-19,21100800,10768440,10332360,6.4,6.6,6.2,104.2
2019,20-24,21861558,11188910,10672648,6.6,6.9,6.4,104.8
2019,25-29,23693302,12103993,11589309,7.2,7.4,6.9,104.4
2019,30-34,22522671,11405589,11117082,6.8,7.0,6.6,102.6
2019,35-39,21798185,10917344,10880841,6.6,6.7,6.5,100.3
2019,40-44,20003487,9947518,10055969,6.1,6.1,6.0,98.9
2019,45-49,20491118,10137885,10353233,6.2,6.2,6.2,97.9
2019,50-54,20559577,10126538,10433039,6.2,6.2,6.2,97.1
2019,55-59,22001226,10705877,11295349,6.7,6.6,6.7,94.8
2019,60-64,20712610,9935375,10777235,6.3,6.1,6.4,92.2
2019,65-69,17543604,8257449,9286155,5.3,5.1,5.5,88.9
2019,70-74,14076777,6523533,7553244,4.3,4.0,4.5,86.4
2019,75-79,9685598,4331133,5354465,2.9,2.7,3.2,80.9
2019,80-84,6329092,2680916,3648176,1.9,1.6,2.2,73.5
2019,85-89,3896576,1501410,2395166,1.2,0.9,1.4,62.7
2019,90-94,1982704,664076,1318628,0.6,0.4,0.8,50.4
2019,95-99,623463,174250,449213,0.2,0.1,0.3,38.8
2019,100+,87671,19533,68138,0.0,0.0,0.0,28.7
2020,Total,332639102,163904476,168734626,100.0,100.0,100.0,97.1
2020,0-4,20438539,10445659,9992880,6.1,6.4,5.9,104.5
2020,5-9,20200409,10325131,9875278,6.1,6.3,5.9,104.6
2020,10-14,20769978,10603765,10166213,6.2,6.5,6.0,104.3
2020,15-19,21038355,10732423,10305932,6.3,6.5,6.1,104.1
2020,20-24,21899476,11198945,10700531,6.6,6.8,6.3,104.7
2020,25-29,23511987,12029149,11482838,7.1,7.3,6.8,104.8
2020,30-34,22979416,11649087,11330329,6.9,7.1,6.7,102.8
2020,35-39,21922009,10990413,10931596,6.6,6.7,6.5,100.5
2020,40-44,20429786,10168231,10261555,6.1,6.2,6.1,99.1
2020,45-49,20104631,9947289,10157342,6.0,6.1,6.0,97.9
2020,50-54,20510406,10109501,10400905,6.2,6.2,6.2,97.2
2020,55-59,21771752,10598811,11172941,6.5,6.5,6.6,94.9
2020,60-64,21010792,10091925,10918867,6.3,6.2,6.5,92.4
2020,65-69,18030171,8491889,9538282,5.4,5.2,5.7,89.0
2020,70-74,14759266,6836985,7922281,4.4,4.2,4.7,86.3
2020,75-79,10053038,4502437,5550601,3.0,2.7,3.3,81.1
2020,80-84,6508211,2764750,3743461,2.0,1.7,2.2,73.9
2020,85-89,3943281,1528872,2414409,1.2,0.9,1.4,63.3
2020,90-94,2016964,684284,1332680,0.6,0.4,0.8,51.3
2020,95-99,648571,183775,464796,0.2,0.1,0.3,39.5
2020,100+,92064,21155,70909,0.0,0.0,0.0,29.8
2021,Total,334998398,165095479,169902919,100.0,100.0,100.0,97.2
2021,0-4,20601023,10526683,10074340,6.1,6.4,5.9,104.5
